# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
extra	rel_proj_final_deficit	58114	0.628953	0.465413	3.978792e0	7.521739e1	2.873038e1	0.138487	1	1.4569	2
extra	rel_trail_culrate	58114	0.710466	0.528805	7.208719e-2	1.000000e0	2.108666e-1	0.341862	1	1.3495	2
extra	rel_trail_scirate	58114	0.673056	0.482655	2.489713e-1	1.000000e0	3.410881e-1	0.729932	1	1.3531	2
extra	rel_share_culrate	58114	0.493100	0.010806	4.928476e-2	7.500000e-1	1.475146e-1	0.334101	2	1.6611	3
extra	rel_cond_handvalue_x_culdef	58114	0.727140	0.581753	4.029958e0	1.540000e2	1.856751e1	0.217043	1	1.5740	3
extra	rel_cond_handvalue_x_cullead	58114	0.755722	0.596810	4.401263e0	2.200000e2	1.965361e1	0.223942	1	1.5749	4
extra	rel_cond_scishort_x_scitrail	58114	0.855198	0.823382	8.335739e-1	3.400000e1	2.768665e0	0.301074	1	1.4063	3
extra	rel_ca_lead	58114	0.990932	0.790584	1.417903e-2	3.000000e0	8.236750e-1	0.017214	1	1.0095	1
extra	rel_ca_deficit	58114	0.996989	0.821041	4.301889e-3	3.000000e0	7.444069e-1	0.005779	1	1.0031	1
extra	rel_milhand_lead	58114	0.774547	0.666518	2.295316e-1	5.000000e0	1.340048e0	0.171286	1	1.2257	2
extra	rel_milhand_deficit	58114	0.612314	0.405840	3.925904e-1	6.000000e0	1.704240e0	0.230361	1	1.3881	2
extra	ctrl_b_wonder_gap	58114	0.985597	0.500293	1.440273e-2	1.000000e0	9.806586e-1	0.014687	1	1.0144	1
extra	ctrl_b_hand_civil_gap	58114	0.470541	0.105723	7.706233e-1	3.000000e0	1.769039e0	0.435617	2	1.7706	3
